trial,pairs_cond_entropy,singles_cond_entropy,full_singles_cond_entropy,difference,pairs_better_than_sampled,pairs_better_than_full,pairs_features,singles_features
CONFIG,k=6,n_samples=1000,0.067,H(Y)=0.4252,features=1881,trials=100,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-21|hsa-mir-182|hsa-mir-342|hsa-mir-3677,FULL_DATA_SINGLES_FEATURES
18,0.0646,0.0831,0.067,-0.01849999999999999,True,True,hsa-mir-10b|hsa-mir-378a|hsa-mir-155|hsa-mir-196a-1|hsa-mir-328|hsa-mir-629,hsa-mir-486-1|hsa-mir-190b|hsa-mir-10a|hsa-mir-155|hsa-mir-28|hsa-mir-204
19,0.0691,0.0691,0.067,0.0,False,False,hsa-mir-182|hsa-mir-21|hsa-mir-193a|hsa-mir-33b|hsa-mir-144|hsa-mir-665,hsa-mir-21|hsa-mir-182|hsa-mir-33b|hsa-mir-193a|hsa-mir-144|hsa-mir-665
20,0.0604,0.069,0.067,-0.008600000000000003,True,True,hsa-mir-183|hsa-mir-21|hsa-mir-190b|hsa-mir-196a-2|hsa-mir-142|hsa-mir-486-2,hsa-mir-139|hsa-mir-190b|hsa-mir-21|hsa-mir-196a-2|hsa-mir-155|hsa-mir-200c
21,0.0593,0.067,0.067,-0.0077000000000000055,True,True,hsa-mir-182|hsa-mir-21|hsa-mir-196a-1|hsa-mir-592|hsa-mir-145|hsa-mir-342,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-21|hsa-mir-182|hsa-mir-342|hsa-mir-3677
22,0.0605,0.0673,0.067,-0.0068000000000000005,True,True,hsa-mir-182|hsa-mir-21|hsa-mir-190b|hsa-mir-301b|hsa-mir-144|hsa-mir-1468,hsa-mir-1247|hsa-mir-21|hsa-mir-183|hsa-mir-190b|hsa-mir-144|hsa-mir-301b
23,0.0681,0.0756,0.067,-0.007500000000000007,True,False,hsa-mir-10b|hsa-mir-378c|hsa-mir-1301|hsa-mir-196a-2|hsa-mir-130a|hsa-mir-6892,hsa-mir-183|hsa-mir-6892|hsa-mir-592|hsa-mir-196a-2|hsa-mir-378c|hsa-mir-1301
24,0.0819,0.0903,0.067,-0.008400000000000005,True,False,hsa-mir-10b|hsa-mir-378a|hsa-mir-184|hsa-mir-301b|hsa-mir-145|hsa-mir-6854,hsa-mir-1247|hsa-mir-486-1|hsa-mir-3677|hsa-mir-28|hsa-mir-335|hsa-mir-342
25,0.0671,0.076,0.067,-0.008899999999999991,True,False,hsa-mir-182|hsa-mir-21|hsa-mir-10b|hsa-mir-342|hsa-mir-140|hsa-mir-3065,hsa-mir-1247|hsa-mir-21|hsa-mir-182|hsa-mir-342|hsa-mir-7705|hsa-mir-365a
26,0.058,0.0689,0.067,-0.0109,True,True,hsa-mir-183|hsa-mir-21|hsa-mir-196a-2|hsa-mir-452|hsa-mir-184|hsa-mir-301b,hsa-mir-1247|hsa-mir-196a-2|hsa-mir-21|hsa-mir-183|hsa-mir-378a|hsa-mir-301b
27,0.059,0.059,0.067,0.0,False,True,hsa-mir-1301|hsa-mir-328|hsa-mir-196a-2|hsa-mir-378c|hsa-mir-10b|hsa-mir-372,hsa-mir-10b|hsa-mir-378c|hsa-mir-196a-2|hsa-mir-1301|hsa-mir-328|hsa-mir-372
29,0.075,0.0933,0.067,-0.018299999999999997,True,False,hsa-mir-1301|hsa-mir-378a|hsa-mir-10b|hsa-mir-196a-1|hsa-mir-126|hsa-mir-5586,hsa-mir-139|hsa-mir-196a-1|hsa-mir-147b|hsa-mir-378a|hsa-mir-10a|hsa-mir-342
28,0.0797,0.0853,0.067,-0.005600000000000008,True,False,hsa-mir-10b|hsa-mir-378a|hsa-mir-155|hsa-mir-4501|hsa-mir-103a-2|hsa-mir-98,hsa-mir-139|hsa-mir-182|hsa-mir-142|hsa-mir-6892|hsa-mir-103a-2|hsa-mir-1468
30,0.062,0.069,0.067,-0.007000000000000006,True,True,hsa-mir-200a|hsa-mir-21|hsa-mir-1301|hsa-mir-190b|hsa-mir-196a-2|hsa-mir-486-1,hsa-mir-139|hsa-mir-190b|hsa-mir-21|hsa-mir-196a-2|hsa-mir-155|hsa-mir-200c
31,0.0642,0.0686,0.067,-0.004400000000000001,True,True,hsa-mir-182|hsa-mir-21|hsa-mir-10b|hsa-mir-342|hsa-mir-378c|hsa-mir-592,hsa-mir-21|hsa-mir-182|hsa-mir-33b|hsa-mir-193a|hsa-mir-1301|hsa-mir-145
32,0.0696,0.0799,0.067,-0.010300000000000004,True,False,hsa-mir-1301|hsa-mir-328|hsa-mir-33b|hsa-mir-378c|hsa-mir-200a|hsa-mir-6892,hsa-mir-139|hsa-mir-190b|hsa-mir-155|hsa-mir-28|hsa-mir-200c|hsa-mir-451a
33,0.0624,0.072,0.067,-0.009599999999999997,True,True,hsa-mir-1301|hsa-mir-328|hsa-mir-196a-1|hsa-mir-378c|hsa-mir-28|hsa-mir-301b,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-335|hsa-mir-3677|hsa-mir-328|hsa-mir-301b
34,0.0599,0.067,0.067,-0.007100000000000002,True,True,hsa-mir-182|hsa-mir-21|hsa-mir-10b|hsa-mir-342|hsa-mir-196a-1|hsa-mir-592,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-21|hsa-mir-182|hsa-mir-342|hsa-mir-3677
35,0.0767,0.0771,0.067,-0.0003999999999999976,True,False,hsa-mir-1301|hsa-mir-328|hsa-mir-33b|hsa-mir-378c|hsa-mir-128-2|hsa-mir-193a,hsa-mir-1301|hsa-mir-328|hsa-mir-452|hsa-mir-33b|hsa-mir-493|hsa-mir-181b-2
36,0.0589,0.0716,0.067,-0.012699999999999996,True,True,hsa-mir-182|hsa-mir-21|hsa-mir-190b|hsa-mir-301b|hsa-mir-144|hsa-mir-196a-2,hsa-mir-139|hsa-mir-190b|hsa-mir-21|hsa-mir-196a-2|hsa-mir-3677|hsa-mir-378a
37,0.0854,0.0893,0.067,-0.0039000000000000007,True,False,hsa-mir-10b|hsa-mir-378a|hsa-mir-130b|hsa-mir-328|hsa-mir-190b|hsa-mir-5586,hsa-mir-1247|hsa-mir-10a|hsa-mir-190b|hsa-mir-145|hsa-mir-486-2|hsa-mir-5586
39,0.06,0.063,0.067,-0.0030000000000000027,True,True,hsa-mir-182|hsa-mir-21|hsa-mir-196a-1|hsa-mir-452|hsa-mir-130a|hsa-mir-142,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-21|hsa-mir-182|hsa-mir-142|hsa-mir-335
38,0.0656,0.0783,0.067,-0.012699999999999989,True,True,hsa-mir-182|hsa-mir-21|hsa-mir-1301|hsa-mir-190b|hsa-mir-200c|hsa-mir-486-1,hsa-mir-1247|hsa-mir-21|hsa-mir-182|hsa-mir-142|hsa-mir-145|hsa-mir-200c
40,0.0758,0.0729,0.067,0.0029,False,False,hsa-mir-1301|hsa-mir-378a|hsa-mir-10b|hsa-mir-196a-2|hsa-mir-155|hsa-mir-495,hsa-mir-1247|hsa-mir-196a-2|hsa-mir-335|hsa-mir-142|hsa-mir-182|hsa-mir-145
41,0.062,0.0692,0.067,-0.007199999999999998,True,True,hsa-mir-182|hsa-mir-21|hsa-mir-10b|hsa-mir-342|hsa-mir-196a-1|hsa-mir-3065,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-21|hsa-mir-182|hsa-mir-342|hsa-mir-10b
42,0.0721,0.07,0.067,0.0020999999999999908,False,False,hsa-mir-1301|hsa-mir-378a|hsa-mir-10b|hsa-mir-196a-1|hsa-mir-1271|hsa-mir-378c,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-335|hsa-mir-3677|hsa-mir-10a|hsa-mir-378c
43,0.0555,0.0814,0.067,-0.0259,True,True,hsa-mir-10b|hsa-mir-378c|hsa-mir-155|hsa-mir-196a-1|hsa-mir-142|hsa-mir-328,hsa-mir-139|hsa-mir-183|hsa-mir-193a|hsa-mir-196a-1|hsa-mir-142|hsa-mir-184
44,0.0814,0.0748,0.067,0.006599999999999995,False,False,hsa-mir-337|hsa-mir-493|hsa-mir-142|hsa-mir-190b|hsa-mir-335|hsa-mir-7705,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-335|hsa-mir-10a|hsa-mir-142|hsa-mir-103a-1
45,0.0594,0.0692,0.067,-0.009799999999999996,True,True,hsa-mir-182|hsa-mir-21|hsa-mir-10b|hsa-mir-342|hsa-mir-196a-1|hsa-mir-378c,hsa-mir-139|hsa-mir-21|hsa-mir-182|hsa-mir-342|hsa-mir-10b|hsa-mir-196a-1
46,0.0698,0.0665,0.067,0.0032999999999999974,False,False,hsa-mir-1301|hsa-mir-378a|hsa-mir-328|hsa-mir-33b|hsa-mir-214|hsa-mir-676,hsa-mir-183|hsa-mir-378a|hsa-mir-155|hsa-mir-145|hsa-mir-196a-2|hsa-mir-592
47,0.0667,0.0866,0.067,-0.0199,True,True,hsa-mir-10b|hsa-mir-378c|hsa-mir-142|hsa-mir-196a-1|hsa-mir-182|hsa-mir-676,hsa-mir-139|hsa-mir-182|hsa-mir-142|hsa-mir-6892|hsa-mir-103a-1|hsa-mir-1468
48,0.0597,0.0695,0.067,-0.009800000000000003,True,True,hsa-mir-182|hsa-mir-21|hsa-mir-196a-1|hsa-mir-33b|hsa-mir-130a|hsa-mir-155,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-21|hsa-mir-182|hsa-mir-342|hsa-mir-335
49,0.079,0.07,0.067,0.008999999999999994,False,False,hsa-mir-142|hsa-mir-511|hsa-mir-10a|hsa-mir-378c|hsa-mir-1247|hsa-mir-196a-1,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-335|hsa-mir-3677|hsa-mir-10a|hsa-mir-378c
50,0.0696,0.0748,0.067,-0.00520000000000001,True,False,hsa-mir-1301|hsa-mir-378a|hsa-mir-328|hsa-mir-33b|hsa-mir-196a-1|hsa-mir-486-2,hsa-mir-183|hsa-mir-378a|hsa-mir-6892|hsa-mir-1301|hsa-mir-184|hsa-mir-676
51,0.0666,0.0688,0.067,-0.0021999999999999936,True,True,hsa-mir-182|hsa-mir-21|hsa-mir-196a-2|hsa-mir-33b|hsa-mir-155|hsa-mir-190b,hsa-mir-139|hsa-mir-190b|hsa-mir-21|hsa-mir-196a-2|hsa-mir-155|hsa-mir-182
52,0.065,0.0712,0.067,-0.006199999999999997,True,True,hsa-mir-1301|hsa-mir-328|hsa-mir-196a-2|hsa-mir-452|hsa-mir-145|hsa-mir-203b,hsa-mir-1247|hsa-mir-196a-2|hsa-mir-486-1|hsa-mir-142|hsa-mir-452|hsa-mir-328
53,0.0628,0.0724,0.067,-0.009600000000000011,True,True,hsa-mir-21|hsa-mir-96|hsa-mir-3677|hsa-mir-378a|hsa-mir-196a-1|hsa-mir-6883,hsa-mir-139|hsa-mir-190b|hsa-mir-21|hsa-mir-196a-1|hsa-mir-10a|hsa-mir-378a
54,0.0744,0.0795,0.067,-0.005100000000000007,True,False,hsa-mir-301b|hsa-mir-378a|hsa-mir-145|hsa-mir-190b|hsa-mir-1247|hsa-mir-7705,hsa-mir-1247|hsa-mir-142|hsa-mir-145|hsa-mir-378a|hsa-mir-181b-2|hsa-mir-342
55,0.0796,0.0876,0.067,-0.007999999999999993,True,False,hsa-mir-10b|hsa-mir-378a|hsa-mir-184|hsa-mir-592|hsa-mir-193a|hsa-mir-342,hsa-mir-1247|hsa-mir-486-1|hsa-mir-142|hsa-mir-126|hsa-mir-378a|hsa-mir-98
56,0.0698,0.074,0.067,-0.004199999999999995,True,False,hsa-mir-1301|hsa-mir-378a|hsa-mir-328|hsa-mir-33b|hsa-mir-214|hsa-mir-676,hsa-mir-183|hsa-mir-378a|hsa-mir-10b|hsa-mir-196a-2|hsa-mir-1301|hsa-mir-328
57,0.0769,0.0712,0.067,0.005699999999999997,False,False,hsa-mir-142|hsa-mir-511|hsa-mir-328|hsa-mir-5683|hsa-mir-1258|hsa-mir-196a-2,hsa-mir-1247|hsa-mir-196a-2|hsa-mir-486-1|hsa-mir-142|hsa-mir-452|hsa-mir-328
58,0.0665,0.0717,0.067,-0.005199999999999996,True,True,hsa-mir-200a|hsa-mir-21|hsa-mir-196a-1|hsa-mir-592|hsa-mir-155|hsa-mir-378c,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-21|hsa-mir-335|hsa-mir-3677|hsa-mir-342
59,0.0561,0.073,0.067,-0.0169,True,True,hsa-mir-183|hsa-mir-21|hsa-mir-196a-1|hsa-mir-452|hsa-mir-144|hsa-mir-3677,hsa-mir-139|hsa-mir-21|hsa-mir-183|hsa-mir-196a-1|hsa-mir-452|hsa-mir-328
60,0.0613,0.0678,0.067,-0.006499999999999999,True,True,hsa-mir-200a|hsa-mir-21|hsa-mir-1301|hsa-mir-190b|hsa-mir-193a|hsa-mir-196a-1,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-21|hsa-mir-452|hsa-mir-1301|hsa-mir-328
61,0.0563,0.067,0.067,-0.010700000000000001,True,True,hsa-mir-182|hsa-mir-21|hsa-mir-1301|hsa-mir-196a-1|hsa-mir-184|hsa-mir-452,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-21|hsa-mir-182|hsa-mir-342|hsa-mir-3677
62,0.0673,0.0755,0.067,-0.008199999999999999,True,False,hsa-mir-1301|hsa-mir-378a|hsa-mir-328|hsa-mir-33b|hsa-mir-155|hsa-mir-196a-1,hsa-mir-139|hsa-mir-190b|hsa-mir-155|hsa-mir-28|hsa-mir-196a-1|hsa-mir-328
63,0.0847,0.0738,0.067,0.010899999999999993,False,False,hsa-mir-142|hsa-mir-511|hsa-mir-103a-2|hsa-mir-486-2|hsa-mir-196a-1|hsa-mir-28,hsa-mir-100|hsa-mir-196a-1|hsa-mir-144|hsa-mir-142|hsa-mir-145|hsa-mir-103a-2
64,0.0797,0.071,0.067,0.0087,False,False,hsa-mir-142|hsa-mir-511|hsa-mir-10a|hsa-mir-378c|hsa-mir-1247|hsa-mir-196a-2,hsa-mir-1247|hsa-mir-196a-2|hsa-mir-335|hsa-mir-3677|hsa-mir-10a|hsa-mir-378c
65,0.0787,0.0745,0.067,0.004200000000000009,False,False,hsa-mir-139|hsa-mir-190b|hsa-mir-145|hsa-mir-155|hsa-mir-196a-2|hsa-mir-203b,hsa-mir-1247|hsa-mir-196a-2|hsa-mir-335|hsa-mir-3677|hsa-mir-10a|hsa-mir-326
66,0.0561,0.0725,0.067,-0.016399999999999998,True,True,hsa-mir-182|hsa-mir-21|hsa-mir-1301|hsa-mir-196a-1|hsa-mir-10b|hsa-mir-452,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-21|hsa-mir-182|hsa-mir-155|hsa-mir-143
67,0.0605,0.0691,0.067,-0.008599999999999997,True,True,hsa-mir-183|hsa-mir-21|hsa-mir-190b|hsa-mir-200a|hsa-mir-1301|hsa-mir-196a-2,hsa-mir-1247|hsa-mir-196a-2|hsa-mir-21|hsa-mir-183|hsa-mir-190b|hsa-mir-155
68,0.0721,0.0759,0.067,-0.003799999999999998,True,False,hsa-mir-1301|hsa-mir-378a|hsa-mir-10b|hsa-mir-196a-1|hsa-mir-155|hsa-mir-378c,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-452|hsa-mir-155|hsa-mir-182|hsa-mir-4677
69,0.0652,0.0656,0.067,-0.00040000000000001146,True,True,hsa-mir-10b|hsa-mir-378a|hsa-mir-142|hsa-mir-328|hsa-mir-196a-1|hsa-mir-378c,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-452|hsa-mir-142|hsa-mir-328|hsa-mir-183
70,0.0667,0.0711,0.067,-0.004400000000000001,True,True,hsa-mir-301b|hsa-mir-378a|hsa-mir-145|hsa-mir-190b|hsa-mir-144|hsa-mir-6854,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-335|hsa-mir-142|hsa-mir-182|hsa-mir-193a
71,0.0652,0.0688,0.067,-0.003600000000000006,True,True,hsa-mir-1301|hsa-mir-328|hsa-mir-196a-1|hsa-mir-335|hsa-mir-190b|hsa-mir-301b,hsa-mir-139|hsa-mir-190b|hsa-mir-142|hsa-mir-328|hsa-mir-196a-1|hsa-mir-181b-2
72,0.0628,0.073,0.067,-0.0102,True,True,hsa-mir-21|hsa-mir-96|hsa-mir-3677|hsa-mir-378a|hsa-mir-196a-1|hsa-mir-6883,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-21|hsa-mir-335|hsa-mir-3677|hsa-mir-200c
73,0.0761,0.0808,0.067,-0.004699999999999996,True,False,hsa-mir-1301|hsa-mir-378a|hsa-mir-10b|hsa-mir-196a-2|hsa-mir-378c|hsa-mir-5586,hsa-mir-139|hsa-mir-1301|hsa-mir-6892|hsa-mir-196a-2|hsa-mir-378c|hsa-mir-10a
74,0.0594,0.067,0.067,-0.007600000000000003,True,True,hsa-mir-182|hsa-mir-21|hsa-mir-10b|hsa-mir-342|hsa-mir-196a-1|hsa-mir-378c,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-21|hsa-mir-182|hsa-mir-342|hsa-mir-3677
75,0.0603,0.0717,0.067,-0.0114,True,True,hsa-mir-183|hsa-mir-21|hsa-mir-190b|hsa-mir-200a|hsa-mir-1301|hsa-mir-196a-1,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-21|hsa-mir-183|hsa-mir-190b|hsa-mir-144
76,0.0561,0.0647,0.067,-0.008599999999999997,True,True,hsa-mir-183|hsa-mir-21|hsa-mir-196a-1|hsa-mir-452|hsa-mir-144|hsa-mir-3677,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-21|hsa-mir-183|hsa-mir-378a|hsa-mir-3677
