trial,pairs_cond_entropy,singles_cond_entropy,full_singles_cond_entropy,difference,pairs_better_than_sampled,pairs_better_than_full,pairs_features,singles_features
CONFIG,k=8,n_samples=1000,-0.0,H(Y)=0.4442,features=19962,trials=100,KRTAP13-4|CILP2|MSRB3|DARS2|LAMP5|MFN2|CSN2|CD9,FULL_DATA_SINGLES_FEATURES
21,0.0144,0.023,-0.0,-0.0086,True,False,RUNX1T1|KLK4|ACAT1|NUF2|ERH|MT1X|TNFRSF4|ZHX1-C8orf76,ST6GALNAC1|KLK4|EPDR1|COA6|TOMM40|MT1X|CXCL9|KIAA0408
19,0.0149,0.0192,-0.0,-0.004299999999999998,True,False,SALL4|NEXN|ALG1|TDO2|ACAT1|EMD|HTR1D|LPAR1,MAMLD1|SALL4|TDO2|ALG1|TPPP|HTR1D|LLGL2|PLPP7
24,0.0137,0.0185,-0.0,-0.004799999999999999,True,False,AGTR1|SMIM22|SMG7|SAMD14|SAT2|PMP2|DLX5|KISS1R,ST6GALNAC1|SMIM22|AGTR1|COL3A1|ATP2A3|ACADVL|KIAA0408|PMP2
25,0.0032,0.0153,-0.0,-0.0121,True,False,FAP|MSRB3|TLE6|CFD|TMCO1|ENTHD1|CDKN2A|CTBP2,HOXA9|PLPP4|PARP1|MSRB3|FGD3|CADM3|NUDT19|TMEM233
31,0.0206,0.0204,-0.0,0.0001999999999999988,False,False,GJB2|TCEAL7|RRAGD|FGD3|STX6|KRTAP13-4|MYH7B|LKAAEAR1,KRTAP13-4|GJB2|RBMS2|SEMA3F|IL18|GNG12|SEC24D|DESI2
27,0.0088,0.0109,-0.0,-0.0020999999999999994,True,False,SLC38A5|GAS1|ANXA9|CCNDBP1|TSPAN1|THRB|PCDH17|TTLL13P,LLGL2|THRB|ANXA9|PCDH17|PRDM16|ORAI2|BHMT|ZBTB43
26,0.0104,0.0172,-0.0,-0.0068000000000000005,True,False,C1QTNF6|MRGPRF|IRX6|PTTG1|PDHA1|TMEM141|ANP32A|S100P,IRX6|DDX39A|C1QTNF6|MRGPRF|PCNA|MCOLN3|SCIN|MESD
28,0.0104,0.0182,-0.0,-0.007800000000000001,True,False,SYNDIG1|GLT8D2|CLTCL1|AURKA|MARCO|TNFRSF9|AFAP1|AKAIN1,LRRC3B|SYNDIG1|PTPN21|PTBP1|ERCC6L|CLTCL1|ACKR3|TMEM244
30,0.0195,0.03,-0.0,-0.010499999999999999,True,False,SULF1|MME|BAK1|FBXL16|TSPAN13|NKIRAS1|ABHD6|CHST1,BAK1|IL11RA|CCL11|BCAS4|CELSR3|KLHL35|ALPK3|FXYD1
29,0.0101,0.0141,-0.0,-0.004,True,False,FN1|PKD2|NABP2|ACAA2|TFR2|ACTG1|ATG5|ARHGEF16,GTF2IRD1|ARHGEF40|FN1|WDR24|ACAA2|NABP2|CLP1|ACY1
32,0.0049,0.0094,-0.0,-0.0045000000000000005,True,False,LAMP5|TCEAL7|MROH8|RHBDL1|BAK1|MYCT1|ABHD3|IGFL2,BAK1|RHBDL1|AVPR2|LAMP5|LMOD1|MYCT1|MROH8|PILRA
35,0.0039,0.0074,-0.0,-0.0035000000000000005,True,False,CASQ2|CST2|RNF150|ENTHD1|IGSF9|KRTAP13-4|SCRN2|PLA2R1,KRTAP13-4|CST2|THSD7B|ABHD14B|TMOD2|ENTHD1|IGSF9|SCRN2
33,0.0093,0.0143,-0.0,-0.005000000000000001,True,False,NEXN|PLPP4|ANLN|ZNF467|LYPLA2|BLCAP|FBXO41|ACY1,ADCYAP1R1|PLPP4|GRAMD1A|AMOTL2|MTFR2|SGPL1|BLCAP|ARRDC1
34,0.0083,0.024,-0.0,-0.0157,True,False,ENTHD1|CCDC69|PTPN21|BCL9|IBSP|MARCHF9|NRP2|PELO,IBSP|RAB26|ABHD14B|TMCO1|KIFC2|ENTHD1|GRIA3|ARHGEF15
36,0.0131,0.0132,-0.0,-9.99999999999994e-05,True,False,MROH8|ANXA9|FAM83D|UGP2|CAPZB|C9orf116|PAG1|VWF,LLGL2|MROH8|C9orf116|C1QTNF9|CAPZB|UGP2|COPRS|STBD1
37,0.0194,0.0201,-0.0,-0.0006999999999999992,True,False,COL10A1|CAVIN1|PACSIN1|SH3GL1|CCDC185|VAMP2|GSX2|SPRR2F,MAMLD1|COL10A1|E2F1|PDK2|KLHL35|SPRR2F|MAOB|TCF3
39,0.0105,0.0108,-0.0,-0.0002999999999999999,True,False,TNS1|UNC5B|MAD2L1|ADGRG2|TRIM11|LRRC15|ACOT1|KRT16,MEOX1|C1QTNF6|RBPMS|RGCC|PAFAH1B3|UNC5B|GLB1|FKBP3
38,0.0067,0.0306,-0.0,-0.023899999999999998,True,False,DEGS2|GSTM2|MRPL47|SUCLG1|TCF3|SYAP1|SEPTIN8|ZCCHC24,PLPP1|METTL11B|RUSC1|GSTM2|DEGS2|NDNF|SEPTIN8|MTTP
40,0.0102,0.0147,-0.0,-0.004499999999999999,True,False,SRPX|C1QTNF6|RBPMS|SMIM22|RNF149|TMEM273|DRD4|AC004593.2,AC026316.4|SLC44A4|CYRIB|CLIC5|IL21R|DLST|ELAVL1|KCNA5
41,0.0081,0.0088,-0.0,-0.000700000000000001,True,False,CCN4|ECM2|ARHGAP10|ASF1B|CST2|HOGA1|STK4|VASP,TFPI|CCN4|ARHGAP20|CST2|TIMP3|TMEM54|HMGB2|AARS1
