trial,pairs_cond_entropy,singles_cond_entropy,full_singles_cond_entropy,difference,pairs_better_than_sampled,pairs_better_than_full,pairs_features,singles_features
CONFIG,k=8,n_samples=1000,0.0321,H(Y)=0.4252,features=1881,trials=100,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-21|hsa-mir-182|hsa-mir-342|hsa-mir-3677|hsa-mir-6883|hsa-mir-335,FULL_DATA_SINGLES_FEATURES
12,0.03,0.0372,0.0321,-0.007199999999999998,True,True,hsa-mir-182|hsa-mir-21|hsa-mir-196a-2|hsa-mir-592|hsa-mir-130a|hsa-mir-200a|hsa-mir-193b|hsa-mir-342,hsa-mir-1247|hsa-mir-196a-2|hsa-mir-21|hsa-mir-182|hsa-mir-342|hsa-mir-3677|hsa-mir-6883|hsa-mir-28
13,0.0298,0.0404,0.0321,-0.010599999999999998,True,True,hsa-mir-182|hsa-mir-21|hsa-mir-10b|hsa-mir-342|hsa-mir-196a-2|hsa-mir-378c|hsa-mir-142|hsa-mir-7702,hsa-mir-139|hsa-mir-190b|hsa-mir-21|hsa-mir-196a-2|hsa-mir-3677|hsa-mir-378a|hsa-mir-6883|hsa-mir-181b-2
15,0.0265,0.0402,0.0321,-0.0137,True,True,hsa-mir-10b|hsa-mir-378c|hsa-mir-155|hsa-mir-196a-2|hsa-mir-328|hsa-mir-4724|hsa-mir-132|hsa-mir-3607,hsa-mir-183|hsa-mir-6892|hsa-mir-7705|hsa-mir-196a-2|hsa-mir-190b|hsa-mir-335|hsa-mir-328|hsa-mir-301b
17,0.0308,0.0346,0.0321,-0.003799999999999998,True,True,hsa-mir-1301|hsa-mir-378a|hsa-mir-196a-1|hsa-mir-328|hsa-mir-155|hsa-mir-7702|hsa-mir-29a|hsa-mir-518e,hsa-mir-183|hsa-mir-378a|hsa-mir-155|hsa-mir-196a-1|hsa-mir-328|hsa-mir-592|hsa-mir-7702|hsa-mir-7706
18,0.0266,0.0471,0.0321,-0.020500000000000004,True,True,hsa-mir-10b|hsa-mir-378a|hsa-mir-155|hsa-mir-196a-1|hsa-mir-328|hsa-mir-629|hsa-mir-548ao|hsa-mir-5694,hsa-mir-486-1|hsa-mir-190b|hsa-mir-10a|hsa-mir-155|hsa-mir-28|hsa-mir-204|hsa-mir-196a-1|hsa-mir-518e
20,0.033,0.04,0.0321,-0.006999999999999999,True,False,hsa-mir-183|hsa-mir-21|hsa-mir-190b|hsa-mir-196a-2|hsa-mir-142|hsa-mir-486-2|hsa-mir-181b-1|hsa-mir-200c,hsa-mir-139|hsa-mir-190b|hsa-mir-21|hsa-mir-196a-2|hsa-mir-155|hsa-mir-200c|hsa-mir-486-2|hsa-mir-1288
21,0.0332,0.0321,0.0321,0.0011000000000000038,False,False,hsa-mir-182|hsa-mir-21|hsa-mir-196a-1|hsa-mir-592|hsa-mir-145|hsa-mir-342|hsa-mir-203b|hsa-mir-219a-1,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-21|hsa-mir-182|hsa-mir-342|hsa-mir-3677|hsa-mir-6883|hsa-mir-335
19,0.0349,0.0357,0.0321,-0.0008000000000000021,True,False,hsa-mir-182|hsa-mir-21|hsa-mir-193a|hsa-mir-33b|hsa-mir-144|hsa-mir-665|hsa-mir-301b|hsa-mir-4442,hsa-mir-21|hsa-mir-182|hsa-mir-33b|hsa-mir-193a|hsa-mir-144|hsa-mir-665|hsa-mir-629|hsa-mir-6854
22,0.0322,0.0399,0.0321,-0.0076999999999999985,True,False,hsa-mir-182|hsa-mir-21|hsa-mir-190b|hsa-mir-301b|hsa-mir-144|hsa-mir-1468|hsa-mir-326|hsa-mir-652,hsa-mir-1247|hsa-mir-21|hsa-mir-183|hsa-mir-190b|hsa-mir-144|hsa-mir-301b|hsa-mir-200c|hsa-mir-6883
23,0.0325,0.0392,0.0321,-0.006699999999999998,True,False,hsa-mir-10b|hsa-mir-378c|hsa-mir-1301|hsa-mir-196a-2|hsa-mir-130a|hsa-mir-6892|hsa-mir-22|hsa-mir-493,hsa-mir-183|hsa-mir-6892|hsa-mir-592|hsa-mir-196a-2|hsa-mir-378c|hsa-mir-1301|hsa-mir-130a|hsa-mir-6513
24,0.0425,0.051,0.0321,-0.008499999999999994,True,False,hsa-mir-10b|hsa-mir-378a|hsa-mir-184|hsa-mir-301b|hsa-mir-145|hsa-mir-6854|hsa-mir-181c|hsa-mir-342,hsa-mir-1247|hsa-mir-486-1|hsa-mir-3677|hsa-mir-28|hsa-mir-335|hsa-mir-342|hsa-mir-340|hsa-mir-184
25,0.0348,0.0428,0.0321,-0.008,True,False,hsa-mir-182|hsa-mir-21|hsa-mir-10b|hsa-mir-342|hsa-mir-140|hsa-mir-3065|hsa-mir-193b|hsa-mir-4787,hsa-mir-1247|hsa-mir-21|hsa-mir-182|hsa-mir-342|hsa-mir-7705|hsa-mir-365a|hsa-mir-22|hsa-mir-193a
26,0.0285,0.0403,0.0321,-0.011800000000000001,True,True,hsa-mir-183|hsa-mir-21|hsa-mir-196a-2|hsa-mir-452|hsa-mir-184|hsa-mir-301b|hsa-mir-486-1|hsa-mir-6837,hsa-mir-1247|hsa-mir-196a-2|hsa-mir-21|hsa-mir-183|hsa-mir-378a|hsa-mir-301b|hsa-mir-184|hsa-mir-3652
27,0.0286,0.0286,0.0321,0.0,False,True,hsa-mir-1301|hsa-mir-328|hsa-mir-196a-2|hsa-mir-378c|hsa-mir-10b|hsa-mir-372|hsa-mir-548ag-2|hsa-mir-6892,hsa-mir-10b|hsa-mir-378c|hsa-mir-196a-2|hsa-mir-1301|hsa-mir-328|hsa-mir-372|hsa-mir-6892|hsa-mir-548ag-2
