trial,pairs_cond_entropy,singles_cond_entropy,full_singles_cond_entropy,difference,pairs_better_than_sampled,pairs_better_than_full,pairs_features,singles_features
CONFIG,k=6,n_samples=1000,0.0158,H(Y)=0.4442,features=19962,trials=100,KRTAP13-4|CILP2|MSRB3|DARS2|LAMP5|MFN2,FULL_DATA_SINGLES_FEATURES
27,0.0347,0.0376,0.0158,-0.0029,True,False,SLC38A5|GAS1|ANXA9|CCNDBP1|TSPAN1|THRB,LLGL2|THRB|ANXA9|PCDH17|PRDM16|ORAI2
28,0.039,0.043,0.0158,-0.003999999999999997,True,False,SYNDIG1|GLT8D2|CLTCL1|AURKA|MARCO|TNFRSF9,LRRC3B|SYNDIG1|PTPN21|PTBP1|ERCC6L|CLTCL1
31,0.0453,0.0456,0.0158,-0.00030000000000000165,True,False,GJB2|TCEAL7|RRAGD|FGD3|STX6|KRTAP13-4,KRTAP13-4|GJB2|RBMS2|SEMA3F|IL18|GNG12
32,0.0207,0.0252,0.0158,-0.0045000000000000005,True,False,LAMP5|TCEAL7|MROH8|RHBDL1|BAK1|MYCT1,BAK1|RHBDL1|AVPR2|LAMP5|LMOD1|MYCT1
29,0.0344,0.0369,0.0158,-0.0025000000000000022,True,False,FN1|PKD2|NABP2|ACAA2|TFR2|ACTG1,GTF2IRD1|ARHGEF40|FN1|WDR24|ACAA2|NABP2
30,0.0528,0.0581,0.0158,-0.005299999999999999,True,False,SULF1|MME|BAK1|FBXL16|TSPAN13|NKIRAS1,BAK1|IL11RA|CCL11|BCAS4|CELSR3|KLHL35
33,0.0376,0.0366,0.0158,0.0010000000000000009,False,False,NEXN|PLPP4|ANLN|ZNF467|LYPLA2|BLCAP,ADCYAP1R1|PLPP4|GRAMD1A|AMOTL2|MTFR2|SGPL1
34,0.0312,0.0578,0.0158,-0.0266,True,False,ENTHD1|CCDC69|PTPN21|BCL9|IBSP|MARCHF9,IBSP|RAB26|ABHD14B|TMCO1|KIFC2|ENTHD1
35,0.0267,0.0336,0.0158,-0.006899999999999996,True,False,CASQ2|CST2|RNF150|ENTHD1|IGSF9|KRTAP13-4,KRTAP13-4|CST2|THSD7B|ABHD14B|TMOD2|ENTHD1
36,0.0433,0.0469,0.0158,-0.003599999999999999,True,False,MROH8|ANXA9|FAM83D|UGP2|CAPZB|C9orf116,LLGL2|MROH8|C9orf116|C1QTNF9|CAPZB|UGP2
37,0.0443,0.0529,0.0158,-0.008600000000000003,True,False,COL10A1|CAVIN1|PACSIN1|SH3GL1|CCDC185|VAMP2,MAMLD1|COL10A1|E2F1|PDK2|KLHL35|SPRR2F
38,0.0371,0.0584,0.0158,-0.0213,True,False,DEGS2|GSTM2|MRPL47|SUCLG1|TCF3|SYAP1,PLPP1|METTL11B|RUSC1|GSTM2|DEGS2|NDNF
39,0.0365,0.0333,0.0158,0.0031999999999999945,False,False,TNS1|UNC5B|MAD2L1|ADGRG2|TRIM11|LRRC15,MEOX1|C1QTNF6|RBPMS|RGCC|PAFAH1B3|UNC5B
40,0.0315,0.0497,0.0158,-0.0182,True,False,SRPX|C1QTNF6|RBPMS|SMIM22|RNF149|TMEM273,AC026316.4|SLC44A4|CYRIB|CLIC5|IL21R|DLST
41,0.0281,0.0302,0.0158,-0.002100000000000001,True,False,CCN4|ECM2|ARHGAP10|ASF1B|CST2|HOGA1,TFPI|CCN4|ARHGAP20|CST2|TIMP3|TMEM54
42,0.0469,0.0541,0.0158,-0.007200000000000005,True,False,CHRNA6|UBE2C|KIF26A|CACFD1|MPPED2|MLIP,DPP6|ADAM19|CACFD1|KIF26A|MRPL17|CHRNA6
43,0.032,0.0379,0.0158,-0.0059000000000000025,True,False,MFAP2|TCEAL7|UBE2E3|TDRKH|CAMK1|SAMD11,ADCYAP1R1|COMP|COX7A1|FOXS1|F11R|NFKB2
44,0.0221,0.0275,0.0158,-0.0053999999999999986,True,False,COMP|LMOD1|H2AZ1|SLC44A4|CUTC|TMEM199,FHL1|COMP|CTF1|SLC44A4|PTTG1|SYN3
45,0.0442,0.0469,0.0158,-0.002699999999999994,True,False,VCAN|ARHGAP24|HMMR|TPRN|PROKR1|CYP2A6,ARHGAP24|VCAN|HMMR|TPRN|EIF4E3|PROKR1
46,0.0338,0.0406,0.0158,-0.0068000000000000005,True,False,RBMS3|BGN|CTF1|ARV1|CCM2L|UBALD1,WSCD2|BGN|CTF1|SMG5|DENND2C|PARM1
47,0.0319,0.0335,0.0158,-0.0016000000000000042,True,False,RUNX1T1|LRRC15|TRIM11|PFKFB3|MMP3|MS4A15,RUNX1T1|LRRC15|ACAA2|HDGF|CDK5|TYRO3
48,0.0361,0.0335,0.0158,0.002599999999999998,False,False,CTHRC1|CLMP|ORAI2|TPPP|REM1|RHNO1,HIF3A|TDRKH|ESYT1|INHBA|ORAI2|ARHGAP24
49,0.0407,0.0498,0.0158,-0.009099999999999997,True,False,SEMA3D|GJB2|TNFRSF9|ODF2|MARCO|KL,HAGHL|KIF11|COMP|SRPX|GJB2|SLC16A7
50,0.0399,0.0523,0.0158,-0.012400000000000001,True,False,ADAM19|ARHGAP24|ODF2|MT1X|NABP2|SEC24D,SLC35A2|SEC14L5|ADAM19|ARHGAP24|TBL2|CA12
52,0.0397,0.0424,0.0158,-0.002700000000000001,True,False,BGN|FLRT2|ALG1|MTARC2|MIA2|KLF10,SCN4A|RHBDL1|FN1|CFAP300|AMOTL1|ICA1
51,0.0301,0.0423,0.0158,-0.012199999999999999,True,False,SSPN|KIF26B|CENPM|RHBDL1|ATP6V1A|CCL11,ALG1|TNS2|COMP|IRF7|ARHGEF4|MMP3
53,0.0361,0.0363,0.0158,-0.0001999999999999988,True,False,C3orf80|MME|FGD3|ZBTB4|AAGAB|HCN1,PTPN21|C3orf80|APH1A|CLEC3B|FGD3|RNF112
54,0.0326,0.0353,0.0158,-0.002700000000000001,True,False,CCN4|ECM2|IGF2BP2|CKS1B|MAOB|RAB5C,GTF2IRD1|C22orf39|DPEP1|LGI4|CCN4|APOO
56,0.0309,0.0495,0.0158,-0.018600000000000002,True,False,FEZ1|PLPP4|RHBDL1|NUF2|VSTM2L|DNAJB4,LRRC3B|RHBDL1|ABHD14B|MFAP2|FEZ1|DNAJB4
55,0.046,0.0465,0.0158,-0.0005000000000000004,True,False,LOXL1|LMOD1|PARP1|KLF14|PPDPF|ANKRD22,WSCD2|UNC5B|PARP1|ZBED3|GIMAP6|CLEC4C
57,0.0362,0.0523,0.0158,-0.016099999999999996,True,False,FN1|MSRB3|MTHFD2|SMIM22|CCN5|ASPN,FGF9|FN1|MSRB3|SRMS|STMN1|CCDC195
58,0.0348,0.0495,0.0158,-0.014700000000000005,True,False,RECK|CDH11|ESYT1|TOR3A|GDE1|TMEM54,LRRC3B|BCL9|CC2D2A|CDH11|PFKFB3|MIF4GD
61,0.0392,0.0409,0.0158,-0.0017000000000000001,True,False,RECK|COL1A2|HDGF|ACAA2|ORAI2|ARF4,HIF3A|HDGF|ACAA2|ORAI2|ARF4|DNAJB4
59,0.0244,0.0343,0.0158,-0.009899999999999996,True,False,CCN4|NKAPL|TNS2|SMIM22|UNC13A|MGAT4C,ATP1A2|SLC44A4|CCN4|FEZ2|CBX4|MCRIP2
60,0.0329,0.0333,0.0158,-0.0004000000000000045,True,False,ZBTB4|SLC44A4|FOXP3|FAM124A|COMMD7|ENAH,WSCD2|FOXP3|SLC44A4|BTNL9|LBX2|ADGRG3
62,0.0487,0.0567,0.0158,-0.008,True,False,RUNX2|FLRT2|ROGDI|GSTM2|RTN1|TMEM244,HOXA9|RUNX2|PRR19|NMNAT2|GSTM2|DNAAF3
63,0.0303,0.04,0.0158,-0.0097,True,False,CCN4|ARHGAP20|MTARC2|TPRN|AURKA|CRHBP,HIF3A|CCN4|ARHGAP20|WDR62|CBX4|TEF
64,0.0499,0.0389,0.0158,0.011000000000000003,False,False,FERMT2|ADAMTS14|CA12|AGTR1|MMP3|COX6C,KRTAP13-4|ZMYND10|AGTR1|PCDH17|CDC37L1|RHPN1
66,0.0381,0.0398,0.0158,-0.0017000000000000001,True,False,VCAN|MSRB3|PFDN2|ABCB8|MYRFL|AADACL2,GRAMD1A|LTBP4|C3orf80|SEMA6D|CST1|MAP1LC3C
65,0.0416,0.0409,0.0158,0.0006999999999999992,False,False,SPARCL1|C3orf80|EHBP1|NUP210|COMP|AC009779.3,IBSP|MRPS34|MROH8|NUP210|PLPP4|HCN2
70,0.0478,0.0373,0.0158,0.010500000000000002,False,False,LRP1|COL5A1|DEGS2|UBE2C|PLXNA3|ACSS2,MAMLD1|PLXNA3|THRA|KDELR2|DEGS2|JPT1
68,0.038,0.0357,0.0158,0.0022999999999999965,False,False,LIMS2|BGN|VOPP1|ALDH1A1|MED25|C1QTNF9,SCN4A|CILP2|LRIG3|CACYBP|GPR160|KLF14
67,0.0303,0.0306,0.0158,-0.0002999999999999982,True,False,GAS1|BGN|CD34|IRF7|CA12|SNRPE,SCN4A|CILP2|GAS1|ERCC6L|CA12|TYRO3
69,0.0251,0.038,0.0158,-0.012899999999999998,True,False,CCN4|MRGPRF|PLD1|NUF2|MLXIPL|ZNF467,CAPN6|CCN4|NDNF|SEMA3F|GARS1|PLD1
72,0.0393,0.0558,0.0158,-0.0165,True,False,LMOD1|ZNF668|AGTR1|SLC44A4|KALRN|F2RL2,MRPS34|ANLN|NAT1|TMEM47|F2RL2|SOX7
71,0.0473,0.052,0.0158,-0.004699999999999996,True,False,VCAN|ANGPTL2|LIFR|MUC1|NUDT5|MAB21L4,KRTAP13-4|ZNF672|SAV1|CAPZA1|PLXNA3|NRBP2
74,0.04,0.0469,0.0158,-0.006899999999999996,True,False,IL21R|ALDH1A1|GTF3C1|APOL3|PGM1|ERH,TFPI|IL21R|APOL3|GTF3C1|NANS|NANOS1
73,0.0328,0.0396,0.0158,-0.0068000000000000005,True,False,FEZ1|BGN|PSPH|ATOX1|LTBP4|ACTG1,LRRC3B|BGN|FEZ1|PSPH|ABCF3|ACSL3
76,0.0345,0.0406,0.0158,-0.006099999999999994,True,False,P4HA3|SPARCL1|GRAMD1A|GRIA3|SGPL1|TK2,HIF3A|B4GALT3|C22orf39|GRAMD1A|P4HA3|MYCT1
78,0.0417,0.0449,0.0158,-0.0032000000000000015,True,False,FERMT2|FN1|FAM83D|MATN3|CYSTM1|MCRIP2,MMP11|FERMT2|FN1|MATN3|PRR19|KIAA0408
77,0.0336,0.0383,0.0158,-0.004700000000000003,True,False,SLC24A2|TCEAL7|RRM2|ZNF467|DAPK2|R3HDM4,COL11A1|FLRT2|ZNF467|IL21R|DAPK2|TEAD4
75,0.0397,0.0429,0.0158,-0.0032000000000000015,True,False,CORO2B|SLC24A2|TBL2|MAGI2|HOXC11|RASL10B,ALG1|CBX7|HTR1D|VAMP3|KIF26B|RBPMS
79,0.0338,0.0456,0.0158,-0.011800000000000005,True,False,LRRC15|SLIT3|EIF4E3|HSH2D|DAPK2|ARHGAP39,MEOX1|FOXP3|GATA3|EIF4E3|LRRC15|MAF
80,0.0473,0.0714,0.0158,-0.024100000000000003,True,False,RUNX1T1|COL5A1|HADHA|CAPZA1|EHBP1|KCNH1,BAK1|FOXC1|SALL4|APCDD1|FOXS1|RTN1
81,0.0311,0.046,0.0158,-0.0149,True,False,CDH11|MSRB3|UBE2Q1|SMIM22|ACAT1|RTN4RL2,FHL1|CDH11|MSRB3|PRCC|PGM1|RTN4RL2
82,0.0351,0.0432,0.0158,-0.008100000000000003,True,False,CST2|MAB21L1|IGSF9|NYAP1|DHRS12|GABRD,DPP6|CST2|FAM83D|CAT|IGSF9|AL139353.1
83,0.0397,0.0526,0.0158,-0.012900000000000002,True,False,SEMA3D|CTHRC1|CRY2|MUC1|TMC4|LMNB2,ATP1A2|TSPAN13|LOXL1|OR2B6|TMEM145|GPATCH11
84,0.035,0.0576,0.0158,-0.022599999999999995,True,False,INHBA|PRKD1|PRDX4|CBX4|MUC1|SOGA3,MMP11|PRKD1|INHBA|GPAA1|CBX4|ADM2
85,0.0383,0.0469,0.0158,-0.008599999999999997,True,False,CALCOCO1|ANXA9|KIF22|ENTHD1|SLC22A12|CCDC69,PTPN21|C11orf24|ANXA9|NOVA1|NAA60|SKA2
86,0.0394,0.0419,0.0158,-0.0025000000000000022,True,False,SLC24A2|MAMDC2|DDX39A|DOP1B|ADGRA2|TNR,DPP6|SLC24A2|DDX39A|DSEL|IL11RA|SHISA4
87,0.0613,0.0579,0.0158,0.0034000000000000002,False,False,LETMD1|RMND5B|GHR|PHTF1|TLE6|CHRNB1,ADCYAP1R1|OLFML2B|GRAMD1A|AMOTL2|TPD52|HSD17B6
88,0.0357,0.0596,0.0158,-0.023899999999999998,True,False,SYNDIG1|PARVA|SLC20A1|EBF1|SUCO|SEC14L5,LRRC3B|SMIM22|SALL4|SEC14L5|TOR3A|ACAT1
