n_features,k,n_samples,sample_id,difference
8,7,100000,39552,0.01
8,7,100000,39855,0.01
8,7,100000,41317,0.0099999999999999
8,7,100000,41529,0.01
8,7,100000,43953,0.01
8,7,100000,44213,0.0099999999999999
8,7,100000,45338,0.01
8,7,100000,47952,0.02
8,7,100000,48853,0.0199999999999999
8,7,100000,49347,0.01
8,7,100000,55049,0.01
8,7,100000,57185,0.0099999999999999
8,7,100000,61150,0.01
8,7,100000,61974,0.01
8,7,100000,62256,0.01
8,7,100000,62304,0.02
8,7,100000,63251,0.0199999999999999
8,7,100000,67129,0.0099999999999999
8,7,100000,67521,0.01
8,7,100000,69748,0.01
8,7,100000,71306,0.0099999999999999
8,7,100000,72351,0.01
8,7,100000,72605,0.01
8,7,100000,75450,0.01
8,7,100000,75547,0.01
8,7,100000,76171,0.01
8,7,100000,80388,0.01
8,7,100000,81586,0.0099999999999999
8,7,100000,84775,0.01
8,7,100000,85780,0.01
8,7,100000,86696,0.01
8,7,100000,86941,0.01
8,7,100000,87350,0.01
8,7,100000,87499,0.01
8,7,100000,87614,0.01
8,7,100000,89317,0.01
8,7,100000,89526,0.01
8,7,100000,89619,0.01
8,7,100000,91728,0.0099999999999999
8,7,100000,92506,0.01
8,7,100000,92662,0.01
8,7,100000,93949,0.01
8,7,100000,99149,0.0099999999999999
8,7,100000,99157,0.01
8,7,100000,99661,0.02
9,8,10000,2770,0.01
9,8,10000,5410,0.0099999999999999
9,8,10000,7404,0.01
9,8,10000,9703,0.0099999999999999
9,8,100000,13,0.01
9,8,100000,1501,0.01
9,8,100000,11209,0.01
9,8,100000,20880,0.01
9,8,100000,24751,0.01
9,8,100000,26211,0.0099999999999999
9,8,100000,41124,0.01
9,8,100000,41770,0.01
9,8,100000,42890,0.01
9,8,100000,43477,0.01
9,8,100000,43600,0.0099999999999999
9,8,100000,49766,0.01
9,8,100000,51863,0.01
9,8,100000,52926,0.01
9,8,100000,53888,0.01
9,8,100000,66586,0.01
9,8,100000,73368,0.01
9,8,100000,74205,0.0099999999999999
9,8,100000,79198,0.01
9,8,100000,83508,0.01
9,8,100000,83643,0.01
9,8,100000,83702,0.01
9,8,100000,85702,0.01
9,8,100000,97199,0.0099999999999999
10,9,10000,3074,0.01
10,9,10000,3183,0.0099999999999999
10,9,10000,3927,0.01
10,9,100000,8560,0.01
10,9,100000,14298,0.01
10,9,100000,15592,0.01
10,9,100000,19258,0.0099999999999999
10,9,100000,21913,0.01
10,9,100000,26972,0.01
10,9,100000,44007,0.01
10,9,100000,45595,0.01
10,9,100000,49973,0.01
10,9,100000,63487,0.0099999999999999
10,9,100000,65927,0.01
10,9,100000,67606,0.0099999999999999
10,9,100000,78125,0.01
10,9,100000,79539,0.01
10,9,100000,79638,0.0099999999999999
10,9,100000,80087,0.01
10,9,100000,81901,0.01
10,9,100000,91649,0.0099999999999999
10,9,100000,94272,0.01
7,6,500000,1965,0.01
7,6,500000,2159,0.0099999999999999
7,6,500000,6236,0.01
7,6,500000,6874,0.01
7,6,500000,7171,0.0099999999999999
7,6,500000,8519,0.0099999999999999
7,6,500000,8595,0.01
7,6,500000,11254,0.01
7,6,500000,11688,0.01
7,6,500000,12137,0.01
7,6,500000,12921,0.0099999999999999
7,6,500000,17090,0.0099999999999999
7,6,500000,17128,0.02
7,6,500000,17329,0.01
7,6,500000,17530,0.01
7,6,500000,18190,0.01
7,6,500000,18502,0.01
7,6,500000,20483,0.02
7,6,500000,20728,0.01
7,6,500000,21161,0.01
7,6,500000,21208,0.01
7,6,500000,21988,0.01
7,6,500000,22675,0.01
7,6,500000,23004,0.01
7,6,500000,23087,0.01
7,6,500000,23313,0.0099999999999999
7,6,500000,24006,0.01
7,6,500000,24532,0.01
7,6,500000,26409,0.0099999999999999
7,6,500000,27795,0.06
7,6,500000,28351,0.0099999999999999
7,6,500000,28392,0.01
7,6,500000,29348,0.0099999999999999
7,6,500000,29622,0.01
7,6,500000,29892,0.01
7,6,500000,29907,0.01
7,6,500000,30032,0.01
7,6,500000,31740,0.0099999999999999
7,6,500000,34399,0.01
7,6,500000,34831,0.01
7,6,500000,34843,0.01
7,6,500000,34957,0.01
7,6,500000,35251,0.01
7,6,500000,35516,0.01
7,6,500000,35930,0.01
