n_features,k,n_samples,ffsi_count,ffsi_rate,avg_difference,std_difference,min_difference,max_difference
7,6,50000,2345,0.0469,0.0007290831556503199,0.0006451711823170556,9.999999999998899e-05,0.005400000000000002
8,7,50000,3712,0.07424,0.0007561691810344829,0.0006423620218128035,9.999999999998899e-05,0.005699999999999997
9,8,50000,6050,0.121,0.0008971404958677686,0.0007544929368994512,9.999999999998899e-05,0.006000000000000005
10,9,50000,9140,0.1828,0.0011375054704595188,0.0009427474586323849,9.999999999998899e-05,0.007199999999999984
