n_features,k,n_samples,ffsi_count,ffsi_rate,avg_difference,std_difference,min_difference,max_difference
7,6,10000,446,0.0446,0.000761883408071749,0.0006515796912348027,9.999999999998899e-05,0.0050000000000000044
8,7,10000,705,0.0705,0.0007868085106382982,0.0007061706935565981,9.999999999998899e-05,0.005600000000000008
9,8,10000,1252,0.1252,0.0009051118210862619,0.0007551988526109282,9.999999999998899e-05,0.005500000000000005
10,9,10000,1869,0.1869,0.0011449438202247191,0.0009649016336953377,9.999999999998899e-05,0.005900000000000016
