n_features,k,n_samples,ffsi_count,ffsi_rate,avg_difference,std_difference,min_difference,max_difference
7,6,100000,4724,0.04724,0.0007368755292125318,0.0006553428372198312,9.999999999998899e-05,0.0058
8,7,100000,7494,0.07494,0.0007585401654657058,0.0006479390279250712,9.999999999998899e-05,0.006400000000000003
9,8,100000,12119,0.12119,0.0009010479412492778,0.0007548351549575859,9.999999999998899e-05,0.007599999999999996
10,9,100000,18255,0.18255,0.0011491427006299646,0.0009487059353134556,9.999999999998899e-05,0.008899999999999991
