n_features,k,n_samples,ffsi_count,ffsi_rate,avg_difference,std_difference,min_difference,max_difference
7,6,50000,16621,0.33242,0.028563263341555862,0.017848288872597404,0.009999999999999953,0.13
8,7,50000,20554,0.41108,0.03412571762187409,0.021674802613716106,0.009999999999999898,0.15000000000000002
9,8,50000,22748,0.45496,0.03634165640935467,0.02373057754567639,0.009999999999999898,0.16999999999999998
10,9,50000,23052,0.46104,0.03532968939788304,0.022880497661755105,0.009999999999999898,0.17000000000000004
