n_features,k,n_samples,ffsi_count,ffsi_rate,avg_difference,std_difference,min_difference,max_difference
7,6,100000,33422,0.33422,0.028577882831667765,0.017794449514651825,0.009999999999999953,0.14
8,7,100000,41244,0.41244,0.03413563184948114,0.02180253681637677,0.009999999999999898,0.18000000000000005
9,8,100000,45646,0.45646,0.03658962450159926,0.023612792245584262,0.009999999999999898,0.17000000000000004
10,9,100000,46046,0.46046,0.0353231551057638,0.02281738132859369,0.009999999999999898,0.16999999999999993
