n_features,k,n_samples,ffsi_count,ffsi_rate,avg_difference,std_difference,min_difference,max_difference
7,6,10000,3264,0.3264,0.028348651960784316,0.017344371555664217,0.009999999999999953,0.12000000000000002
8,7,10000,4129,0.4129,0.034650036328408816,0.022042722471972313,0.009999999999999898,0.15999999999999998
9,8,10000,4546,0.4546,0.03669599648042235,0.02346438382955661,0.009999999999999898,0.16999999999999998
10,9,10000,4630,0.463,0.03521382289416847,0.022689819142199415,0.009999999999999898,0.16000000000000003
