n_features,k,n_samples,ffsi_count,ffsi_rate,avg_difference,std_difference,min_difference,max_difference
7,6,10000,3975,0.3975,0.04198993710691824,0.02757503191063869,0.009999999999999953,0.2
8,7,10000,4563,0.4563,0.050655270655270666,0.03405369029998176,0.009999999999999953,0.21
9,8,10000,4872,0.4872,0.052557471264367814,0.03594212228559302,0.009999999999999898,0.24
10,9,10000,4839,0.4839,0.046989047323827235,0.032743602954115096,0.009999999999999898,0.24000000000000005
