n_features,k,n_samples,ffsi_count,ffsi_rate,avg_difference,std_difference,min_difference,max_difference
7,6,50000,19503,0.39006,0.041821771009588275,0.027888070225049844,0.009999999999999953,0.22
8,7,50000,22810,0.4562,0.05090267426567296,0.0347498870028766,0.009999999999999953,0.25
9,8,50000,23877,0.47754,0.051849897390794486,0.036082794881453585,0.009999999999999898,0.27
10,9,50000,23695,0.4739,0.047101920236336775,0.032989845542964386,0.009999999999999898,0.25
